Date,Precipitation,Snowfall,Avg. Max Temp,Avg. Min Temp,Avg. Mean Temp
Sep-70,5.27,0,77.7,54.3,65.7
Oct-70,3.21,0,65.2,43.5,54.4
Nov-70,2.63,0,47.1,32.7,39.9
Dec-70,1.52,M,38.8,22.7,30.8
Jan-71,1.24,M,28.8,9.8,19.3
Feb-71,1.83,M,34.6,18.6,26.6
Mar-71,0.68,M,42.6,23.9,33.2
Apr-71,1.07,0,61.4,33.5,47.5
May-71,4.03,0,69.7,43.7,56.7
Jun-71,2.65,0,85.5,60.7,73.1
Jul-71,2.81,0,82.4,57,69.7
Aug-71,0.89,0,83.5,55.1,69.3
Sep-71,4.29,0,77.3,55.8,66.5
Oct-71,2.84,0,70.1,48.6,59.3
Nov-71,1.31,0,48.9,31,39.9
Dec-71,4.14,0,43.3,27.6,35.5
Jan-72,0.9,M,33.5,15.4,24.5
Feb-72,0.52,M,35,16,25.5
Mar-72,2.97,2.5,45.6,25.2,35.4
Apr-72,4.66,0,59.6,35.5,47.5
May-72,3.78,0,73.3,47.9,60.7
Jun-72,2.62,0,77.4,51.3,64.4
Jul-72,5.52,0,82.5,59.9,71.2
Aug-72,3.33,0,80.9,59.5,70.2
Sep-72,7.11,0,74.4,54.8,64.6
Oct-72,2.9,0,57.7,39.5,48.6
Nov-72,4.21,3,42.8,32.8,37.8
Dec-72,2.08,M,35.1,22.3,28.7
Jan-73,1.11,2.5,36.5,20.5,28.5
Feb-73,1.26,M,35.5,18.6,27.1
Mar-73,3.48,0,53.9,35.8,44.8
Apr-73,2.86,2,58.4,40.4,49.1
May-73,3.78,0,66.4,46.2,56.5
Jun-73,4.76,0,81.3,60,70.7
Jul-73,5.81,0,83.6,60.4,72
Aug-73,3.09,0,82.3,60.1,71.2
Sep-73,1.74,0,76.9,53,64.9
Oct-73,M,M,M,M,M
Nov-73,2.67,0,51.3,34.7,42.9
Dec-73,3.47,21,34.7,20.2,27.5
Jan-74,2.4,M,33.2,17.9,25.5
Feb-74,1.9,12,34.1,17.5,25.8
Mar-74,4.09,4.8,47.9,29.3,38.6
Apr-74,2.14,1.2,63,39,51
May-74,3.93,0,67.9,44.5,56.2
Jun-74,2.84,0,76.6,53.9,65.3
Jul-74,1.18,0,86.2,59.7,73
Aug-74,1.55,0,83.6,56.5,70.1
Sep-74,2.32,0,72.6,47.1,59.8
Oct-74,0.98,0,63.3,38,50.7
Nov-74,3.11,5,48.2,32.7,40.5
Dec-74,2.49,8.8,35.5,24.2,29.8
Jan-75,2.6,3.5,36.3,22.5,29.4
Feb-75,2.61,4.1,33.8,20.1,26.9
Mar-75,1.63,M,43.1,24.6,33.9
Apr-75,4.61,0,53.9,32.1,43
May-75,5.1,0,75,51.5,63.3
Jun-75,8.28,0,79.7,58.8,69.3
Jul-75,1.21,0,83.4,58.5,70.9
Aug-75,4.82,0,82.6,62.3,72.5
Sep-75,2.61,0,68.7,49.2,59
Oct-75,1.37,0,67,41.4,54.2
Nov-75,3.52,6,55,36.9,46
Dec-75,2.32,12.1,37.7,23.2,30.4
Jan-76,1.71,10.5,28.7,11.7,20.2
Feb-76,3.48,0.8,45.4,22.5,33.9
Mar-76,4.1,3,55.3,31.1,43.2
Apr-76,2.23,0,64.6,36.2,50.4
May-76,3.03,0,69.6,45.1,57.3
Jun-76,4.14,0,80.8,58.3,69.6
Jul-76,4.12,0,83.6,60.3,72
Aug-76,1.27,0,80.8,54.8,67.8
Sep-76,3.89,0,74.4,48.5,61.4
Oct-76,2.03,0,57,36.2,46.6
Nov-76,1.18,0,42.5,24.4,33.4
Dec-76,0.67,7.8,31.2,11.7,21.4
Jan-77,0.92,M,19.4,1.5,10.4
Feb-77,1.66,5,34.5,17,25.8
Mar-77,5.01,10.5,53,33.6,43.3
Apr-77,4.29,0,68.1,41.3,54.7
May-77,0.82,0,80.1,51.7,65.9
Jun-77,7.85,0,78.5,53.2,65.8
Jul-77,2.75,0,85.5,61.5,73.5
Aug-77,4.13,0,80,57.9,69
